settled_at,process_before_settling,process_after_settling,mu,beta,observer,goal_correct,goal_error_reduction,goal_movement,process_accuracy,process_error_reduction,window_accuracy,whole_accuracy,recovered_mu,final_entropy
2,-0.12455754716278711,-0.0035181992960549024,1,1.0,21,1,1.4588779683614277,1.4588779683571174,0.16666666666666666,-0.013604811618282753,0.16666666666666666,0.16666666666666666,1.59354652642736,9.21187301010447e-15
1,,,1,1.0,22,1,1.4515397501910496,1.4515397501865994,0.3333333333333333,0.028945307103863227,0.35714285714285715,0.3333333333333333,1.2747545659448196,1.8548099989234033e-13
1,,,1,1.0,23,1,1.6631668027109818,1.6631668027055888,0.25,0.02670925999639162,0.2619047619047619,0.25,1.5253321890767428,1.1933432461671178e-13
1,,,1,1.0,24,1,1.3156116505246735,1.3156116505205049,0.625,0.08315143859080942,0.6666666666666667,0.625,1.2615379447430972,4.565037544902537e-13
1,,,1,1.0,25,1,1.221831214043058,1.2218312138877898,0.25,-0.00614437735906237,0.23809523809523808,0.25,1.113356957319636,1.5882286103444826e-10
2,0.14397487557652577,-0.2825337618909267,1,1.0,26,1,1.658086546900007,1.6580865468947525,0.041666666666666664,-0.2469913754353057,0.023809523809523808,0.041666666666666664,1.4662504283740019,5.138191525801165e-15
1,,,1,1.0,27,1,1.3426087401396878,1.3426087401357802,0.20833333333333334,-0.03046294857596754,0.19047619047619047,0.20833333333333334,1.7708059935783385,8.116584768505919e-14
1,,,1,1.0,28,1,1.3384538935487367,1.338453893544818,0.25,0.03453488481166245,0.2380952380952381,0.25,1.1008448796487125,1.0886961734128153e-13
2,0.04961211778269248,-0.18211907132135563,1,1.0,29,1,1.668965684120607,1.6689656841152938,0.125,-0.16280813889601786,0.11904761904761904,0.125,1.218420558629378,6.754126439544983e-15
1,,,1,1.0,30,1,1.371101460443635,1.3711014604371292,0.25,-0.22782726435504053,0.21428571428571425,0.25,1.7094075549709173,2.6480847863002918e-12
3,-0.012531532258071909,0.18285544457871894,1,1.0,31,1,1.3336947173558034,1.333694717351799,0.7083333333333334,0.15843207247411994,0.7619047619047619,0.7083333333333334,1.6857090030043544,2.1605471933951916e-13
