arm,seed,encounter,probe_engagement,probe_correct,reserve
intent_empty,20012,18,3.6299741137001485e-06,1,0.3986478438204165
intent_empty,20012,19,6.8947808557130796e-09,1,0.3203297981906722
intent_empty,20012,20,7.831031531616197e-09,1,0.3126742916078104
intent_empty,20012,21,2.673777125948624e-12,1,0.2339926857487246
intent_empty,20012,22,2.055535528460169e-15,1,0.2
intent_empty,20012,23,4.303096385587323e-15,1,0.2
intent_empty,20012,24,2.2707594114585248e-13,1,0.2
intent_empty,20012,25,2.055535528460169e-15,1,0.2
intent_empty,20012,26,2.055535528460169e-15,1,0.2
intent_empty,20012,27,2.9816290886258134e-11,1,0.22
intent_empty,20012,28,8.00727304275816e-15,1,0.2
intent_empty,20012,29,4.303096385587323e-15,1,0.2
intent_empty,20013,0,0.04146211395286545,1,0.9220323374840702
intent_empty,20013,1,0.02538244895472318,1,0.8427968402213639
intent_empty,20013,2,0.0411630884513998,1,0.7656875750270271
intent_empty,20013,3,0.015010455718073254,1,0.7856875750270271
intent_empty,20013,4,0.26881527918308434,1,0.7068932200188617
intent_empty,20013,5,0.007328163806743154,1,0.7268932200188617
intent_empty,20013,6,0.00955188243325581,1,0.7468932200188617
intent_empty,20013,7,0.002940268323479038,1,0.6680532256466429
intent_empty,20013,8,0.00423787928253187,1,0.590789961650009
intent_empty,20013,9,0.0020422428722592255,1,0.610789961650009
intent_empty,20013,10,0.00014687094817183468,1,0.5331217809818405
intent_empty,20013,11,2.2151626873685487e-05,1,0.4535666565216786
intent_empty,20013,12,4.664727588835319e-05,1,0.4735666565216786
intent_empty,20013,13,3.920132859397361e-05,1,0.4687396167525349
intent_empty,20013,14,1.4078996831259978e-06,1,0.39227303044945794
intent_empty,20013,15,1.637790662103361e-08,1,0.31410850137275553
intent_empty,20013,16,7.522787634836802e-08,1,0.33410850137275555
intent_empty,20013,17,1.270342335305922e-11,1,0.2558288229276143
intent_empty,20013,18,4.303096385587323e-15,1,0.2
intent_empty,20013,19,4.303096385587323e-15,1,0.2
intent_empty,20013,20,7.801491670022317e-14,1,0.22
intent_empty,20013,21,2.055535528460169e-15,1,0.2
intent_empty,20013,22,2.055535528460169e-15,1,0.2
intent_empty,20013,23,8.00727304275816e-15,1,0.2
intent_empty,20013,24,6.075386933253941e-14,1,0.2
intent_empty,20013,25,4.303096385587323e-15,1,0.2
intent_empty,20013,26,2.055535528460169e-15,1,0.2
intent_empty,20013,27,4.303096385587323e-15,1,0.2
intent_empty,20013,28,4.303096385587323e-15,1,0.2
intent_empty,20013,29,4.303096385587323e-15,1,0.2
