leak,detection,strategy,maker,quality,was_lying,times_caught,payoff
0.1,0.0,defect,2,3,False,0,1.3679227883191356
0.1,0.0,defect,3,1,True,0,0.4702577450357932
0.1,0.0,defect,4,3,False,0,1.4013325020796692
0.1,0.0,defect,5,1,True,0,0.864546737707747
0.1,0.0,defect,6,3,False,0,1.434633557846147
0.1,0.0,defect,7,1,True,0,0.25556317896090397
0.1,0.0,defect,8,3,False,0,1.3285054844417423
0.1,0.0,defect,9,1,True,0,0.19967807094437498
0.1,0.0,defect,10,3,False,0,1.4105142880083517
0.1,0.0,defect,11,1,True,0,0.6800101343923651
0.1,0.0,defect,12,3,False,0,1.4888662067555407
0.1,0.0,defect,13,1,True,0,0.35335068424356075
0.1,0.0,defect,14,3,False,0,1.3691375086263229
0.1,0.0,defect,15,1,True,0,0.6936769501422743
0.1,0.0,defect,16,3,False,0,1.421416364960321
0.1,0.0,defect,17,1,True,0,0.32459042349692163
0.1,0.0,defect,18,3,False,0,1.3718140505205196
0.1,0.0,defect,19,1,True,0,0.41514443928555905
0.1,0.0,defect,20,3,False,0,1.4722674825459048
0.1,0.0,defect,21,1,True,0,0.10883689663456962
0.1,0.0,defect,22,3,False,0,1.44602722002128
0.1,0.0,defect,23,1,True,0,0.341680042149036
0.1,0.1,honest,0,3,False,0,1.3507409255345866
0.1,0.1,honest,1,1,False,0,0.02469402704450663
0.1,0.1,honest,2,3,False,0,1.3679227883191356
0.1,0.1,honest,3,1,False,0,0.017466345136990618
0.1,0.1,honest,4,3,False,0,1.4013325020796692
0.1,0.1,honest,5,1,False,0,0.03046090448551593
0.1,0.1,honest,6,3,False,0,1.434633557846147
0.1,0.1,honest,7,1,False,0,0.01582537381075077
0.1,0.1,honest,8,3,False,0,1.3285054844417423
0.1,0.1,honest,9,1,False,0,0.004255508341270922
0.1,0.1,honest,10,3,False,0,1.4105142880083517
0.1,0.1,honest,11,1,False,0,0.027664624265826675
0.1,0.1,honest,12,3,False,0,1.4888662067555407
0.1,0.1,honest,13,1,False,0,0.021208765524052913
0.1,0.1,honest,14,3,False,0,1.3691375086263229
0.1,0.1,honest,15,1,False,0,0.03005130292816538
0.1,0.1,honest,16,3,False,0,1.421416364960321
0.1,0.1,honest,17,1,False,0,0.008995269139638575
0.1,0.1,honest,18,3,False,0,1.3718140505205196
0.1,0.1,honest,19,1,False,0,0.010696534808263963
0.1,0.1,honest,20,3,False,0,1.4722674825459048
0.1,0.1,honest,21,1,False,0,0.007388101559988622
0.1,0.1,honest,22,3,False,0,1.44602722002128
0.1,0.1,honest,23,1,False,0,0.012250548703309874
0.1,0.1,defect,0,3,False,0,1.3507409255345866
0.1,0.1,defect,1,1,True,1,0.44271446789643826
0.1,0.1,defect,2,3,False,0,1.3679227883191356
0.1,0.1,defect,3,1,True,3,-0.029742254964206755
0.1,0.1,defect,4,3,False,0,1.4013325020796692
0.1,0.1,defect,5,1,True,0,0.864546737707747
0.1,0.1,defect,6,3,False,0,1.434633557846147
0.1,0.1,defect,7,1,True,0,0.25556317896090397
0.1,0.1,defect,8,3,False,0,1.3285054844417423
0.1,0.1,defect,9,1,True,1,0.03301140427770832
0.1,0.1,defect,10,3,False,0,1.4105142880083517
0.1,0.1,defect,11,1,True,1,0.5133434677256985
0.1,0.1,defect,12,3,False,0,1.4888662067555407
0.1,0.1,defect,13,1,True,0,0.35335068424356075
0.1,0.1,defect,14,3,False,0,1.3691375086263229
0.1,0.1,defect,15,1,True,2,0.36034361680894095
0.1,0.1,defect,16,3,False,0,1.421416364960321
0.1,0.1,defect,17,1,True,0,0.32459042349692163
0.1,0.1,defect,18,3,False,0,1.3718140505205196
0.1,0.1,defect,19,1,True,1,0.24847777261889248
0.1,0.1,defect,20,3,False,0,1.4722674825459048
0.1,0.1,defect,21,1,True,0,0.10883689663456962
0.1,0.1,defect,22,3,False,0,1.44602722002128
0.1,0.1,defect,23,1,True,1,0.17501337548236937
0.1,0.25,honest,0,3,False,0,1.3507409255345866
0.1,0.25,honest,1,1,False,0,0.02469402704450663
0.1,0.25,honest,2,3,False,0,1.3679227883191356
0.1,0.25,honest,3,1,False,0,0.017466345136990618
0.1,0.25,honest,4,3,False,0,1.4013325020796692
0.1,0.25,honest,5,1,False,0,0.03046090448551593
0.1,0.25,honest,6,3,False,0,1.434633557846147
0.1,0.25,honest,7,1,False,0,0.01582537381075077
0.1,0.25,honest,8,3,False,0,1.3285054844417423
0.1,0.25,honest,9,1,False,0,0.004255508341270922
0.1,0.25,honest,10,3,False,0,1.4105142880083517
0.1,0.25,honest,11,1,False,0,0.027664624265826675
0.1,0.25,honest,12,3,False,0,1.4888662067555407
0.1,0.25,honest,13,1,False,0,0.021208765524052913
0.1,0.25,honest,14,3,False,0,1.3691375086263229
0.1,0.25,honest,15,1,False,0,0.03005130292816538
0.1,0.25,honest,16,3,False,0,1.421416364960321
0.1,0.25,honest,17,1,False,0,0.008995269139638575
0.1,0.25,honest,18,3,False,0,1.3718140505205196
0.1,0.25,honest,19,1,False,0,0.010696534808263963
0.1,0.25,honest,20,3,False,0,1.4722674825459048
0.1,0.25,honest,21,1,False,0,0.007388101559988622
0.1,0.25,honest,22,3,False,0,1.44602722002128
0.1,0.25,honest,23,1,False,0,0.012250548703309874
0.1,0.25,defect,0,3,False,0,1.3507409255345866
0.1,0.25,defect,1,1,True,1,0.44271446789643826
0.1,0.25,defect,2,3,False,0,1.3679227883191356
0.1,0.25,defect,3,1,True,5,-0.3630755882975401
0.1,0.25,defect,4,3,False,0,1.4013325020796692
0.1,0.25,defect,5,1,True,0,0.864546737707747
0.1,0.25,defect,6,3,False,0,1.434633557846147
0.1,0.25,defect,7,1,True,4,-0.41110348770576266
0.1,0.25,defect,8,3,False,0,1.3285054844417423
0.1,0.25,defect,9,1,True,5,-0.6336552623889583
0.1,0.25,defect,10,3,False,0,1.4105142880083517
0.1,0.25,defect,11,1,True,3,0.18001013439236524
0.1,0.25,defect,12,3,False,0,1.4888662067555407
0.1,0.25,defect,13,1,True,2,0.020017350910227456
0.1,0.25,defect,14,3,False,0,1.3691375086263229
0.1,0.25,defect,15,1,True,3,0.19367695014227435
0.1,0.25,defect,16,3,False,0,1.421416364960321
0.1,0.25,defect,17,1,True,2,-0.008742909836411702
0.1,0.25,defect,18,3,False,0,1.3718140505205196
0.1,0.25,defect,19,1,True,6,-0.5848555607144409
0.1,0.25,defect,20,3,False,0,1.4722674825459048
0.1,0.25,defect,21,1,True,2,-0.2244964366987637
0.1,0.25,defect,22,3,False,0,1.44602722002128
0.1,0.25,defect,23,1,True,4,-0.32498662451763066
0.1,0.5,honest,0,3,False,0,1.3507409255345866
0.1,0.5,honest,1,1,False,0,0.02469402704450663
0.1,0.5,honest,2,3,False,0,1.3679227883191356
0.1,0.5,honest,3,1,False,0,0.017466345136990618
0.1,0.5,honest,4,3,False,0,1.4013325020796692
0.1,0.5,honest,5,1,False,0,0.03046090448551593
0.1,0.5,honest,6,3,False,0,1.434633557846147
0.1,0.5,honest,7,1,False,0,0.01582537381075077
0.1,0.5,honest,8,3,False,0,1.3285054844417423
0.1,0.5,honest,9,1,False,0,0.004255508341270922
0.1,0.5,honest,10,3,False,0,1.4105142880083517
0.1,0.5,honest,11,1,False,0,0.027664624265826675
0.1,0.5,honest,12,3,False,0,1.4888662067555407
0.1,0.5,honest,13,1,False,0,0.021208765524052913
0.1,0.5,honest,14,3,False,0,1.3691375086263229
0.1,0.5,honest,15,1,False,0,0.03005130292816538
0.1,0.5,honest,16,3,False,0,1.421416364960321
0.1,0.5,honest,17,1,False,0,0.008995269139638575
0.1,0.5,honest,18,3,False,0,1.3718140505205196
0.1,0.5,honest,19,1,False,0,0.010696534808263963
0.1,0.5,honest,20,3,False,0,1.4722674825459048
0.1,0.5,honest,21,1,False,0,0.007388101559988622
0.1,0.5,honest,22,3,False,0,1.44602722002128
0.1,0.5,honest,23,1,False,0,0.012250548703309874
0.1,0.5,defect,0,3,False,0,1.3507409255345866
0.1,0.5,defect,1,1,True,7,-0.5572855321035618
0.1,0.5,defect,2,3,False,0,1.3679227883191356
0.1,0.5,defect,3,1,True,8,-0.8630755882975402
0.1,0.5,defect,4,3,False,0,1.4013325020796692
