leak,reader,encounter,rejectable,gate_open,looked,drift_from_start,value_divergence
0.0,9,1,True,8.75651076269652e-27,0.5833333333333334,-3.9999115131275136e-12,13.815510557720184
0.0,9,2,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,9.388403910461365
0.0,9,3,True,8.75651076269652e-27,0.4583333333333333,-3.9999115131275136e-12,13.815510122291107
0.0,9,4,True,1.3820217175408336e-24,0.5,-3.9999115131275136e-12,7.512458472101765
0.0,9,5,True,8.75651076269652e-27,0.4166666666666667,-3.9999115131275136e-12,13.815508953046105
0.0,9,6,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,8.733356678653806
0.0,9,7,True,8.75651076269652e-27,0.2916666666666667,-3.9999115131275136e-12,11.387502068169724
0.0,9,8,True,8.75651076269652e-27,0.5,-3.9999115131275136e-12,13.815510467475814
0.0,9,9,True,8.54161708432815e-18,0.25,-3.9999115131275136e-12,5.534802578554845
0.0,9,10,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,9.996071691228341
0.0,9,11,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,8.31755390861118
0.0,9,12,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,8.888789173167867
0.0,9,13,True,9.134075058373707e-19,0.25,-3.9999115131275136e-12,5.819534127306557
0.0,9,14,True,8.75651076269652e-27,0.5833333333333334,-3.9999115131275136e-12,13.815510518842595
0.0,9,15,True,8.75651076269652e-27,0.3333333333333333,-3.9999115131275136e-12,13.81550463432252
0.0,9,16,True,8.75651076269652e-27,0.375,-3.9999115131275136e-12,11.681916145188097
0.0,9,17,True,4.7028772245496785e-17,0.25,-3.9999115131275136e-12,5.316600921282141
0.0,9,18,True,8.75651076269652e-27,0.375,-3.9999115131275136e-12,13.815508926705897
0.0,9,19,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,9.329468870354892
0.0,10,0,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,10.610535895257303
0.0,10,1,True,2.657230424292735e-12,0.3333333333333333,-3.999883757550789e-12,3.8900636449465975
0.0,10,2,True,8.75651076269652e-27,0.25,-3.999883757550789e-12,8.798768961260762
0.0,10,3,True,8.75651076269652e-27,0.6666666666666666,-3.999883757550789e-12,13.815510557934012
0.0,10,4,True,8.75651076269652e-27,0.4166666666666667,-3.999883757550789e-12,11.292780343113325
0.0,10,5,True,8.75651076269652e-27,0.25,-3.999883757550789e-12,9.598973243161828
0.0,10,6,True,8.75651076269652e-27,0.4583333333333333,-3.999883757550789e-12,13.81550467131794
0.0,10,7,True,8.75651076269652e-27,0.6666666666666666,-3.999883757550789e-12,13.81551055715807
0.0,10,8,True,2.470745575451081e-10,0.25,-4.000078041664944e-12,3.2284287880780917
0.0,10,9,True,8.347379806522501e-15,0.25,-3.999939263787002e-12,4.645844223252552
0.0,10,10,True,9.520856844711687e-21,0.25,-3.999939263787002e-12,6.3983974563668236
0.0,10,11,True,8.75651076269652e-27,0.25,-3.999939263787002e-12,9.776797079926009
0.0,10,12,True,8.75651076269652e-27,0.2916666666666667,-3.999939263787002e-12,11.119257252082594
0.0,10,13,True,8.75651076269652e-27,0.25,-3.999939263787002e-12,9.51525298716784
0.0,10,14,True,8.75651076269652e-27,0.4583333333333333,-3.999939263787002e-12,13.815509946645847
0.0,10,15,True,8.75651076269652e-27,0.25,-3.999939263787002e-12,10.017324174044179
0.0,10,16,True,8.75651076269652e-27,0.3333333333333333,-3.999939263787002e-12,13.81549777246524
0.0,10,17,True,8.75651076269652e-27,0.4166666666666667,-3.999939263787002e-12,13.81550838757666
0.0,10,18,True,8.75651076269652e-27,0.25,-3.999939263787002e-12,9.984728300480155
0.0,10,19,True,8.75651076269652e-27,0.5416666666666666,-3.999939263787002e-12,13.815510367145864
0.0,11,0,True,4.283095976368349e-18,0.25,-3.9999115131275136e-12,5.585927484932328
