artifact,true_depth,extent,reader_depth,observer,levels_seen,density,true_density,goal_correct,process_recovery
sprawl,1,24,1,9,1.0,0.041666666666666664,0.041666666666666664,1,-0.027806347188356284
sprawl,1,24,1,10,1.0,0.041666666666666664,0.041666666666666664,1,0.04566672176371234
sprawl,1,24,2,11,1.0,0.041666666666666664,0.041666666666666664,1,-0.19158563038169563
sprawl,1,24,1,12,1.0,0.041666666666666664,0.041666666666666664,1,0.019174787702644913
sprawl,1,24,2,13,1.0,0.041666666666666664,0.041666666666666664,1,-0.35375165475686665
sprawl,1,24,1,14,1.0,0.041666666666666664,0.041666666666666664,1,-0.24770434620595116
sprawl,1,24,1,15,1.0,0.041666666666666664,0.041666666666666664,1,-0.27802780974924457
sprawl,1,24,3,16,1.0,0.041666666666666664,0.041666666666666664,1,-0.0030270911862557703
sprawl,1,24,3,17,1.0,0.041666666666666664,0.041666666666666664,1,0.11550574652548629
sprawl,1,24,2,18,1.0,0.041666666666666664,0.041666666666666664,1,-0.05066101884665697
sprawl,1,24,2,19,1.0,0.041666666666666664,0.041666666666666664,1,0.23292411937832647
sprawl,1,24,1,20,1.0,0.041666666666666664,0.041666666666666664,1,0.21600018381802832
sprawl,1,24,1,21,1.0,0.041666666666666664,0.041666666666666664,1,0.031294322019114196
sprawl,1,24,1,22,1.0,0.041666666666666664,0.041666666666666664,1,-0.03318617451341366
sprawl,1,24,1,23,1.0,0.041666666666666664,0.041666666666666664,1,0.12427223703585843
sprawl,1,24,1,24,1.0,0.041666666666666664,0.041666666666666664,1,-0.009649457240785697
sprawl,1,24,2,25,1.0,0.041666666666666664,0.041666666666666664,1,-0.23283698265298458
sprawl,1,24,3,26,1.0,0.041666666666666664,0.041666666666666664,1,-0.012418054299246473
sprawl,1,24,2,27,1.0,0.041666666666666664,0.041666666666666664,1,0.0049391185137146465
sprawl,1,24,3,28,1.0,0.041666666666666664,0.041666666666666664,1,0.04782221418624788
sprawl,1,24,1,29,1.0,0.041666666666666664,0.041666666666666664,1,-0.3579408081808717
sprawl,1,24,2,30,1.0,0.041666666666666664,0.041666666666666664,1,0.16779531584782847
sprawl,1,24,3,31,1.0,0.041666666666666664,0.041666666666666664,1,0.012542132998713873
sprawl,1,24,3,32,1.0,0.041666666666666664,0.041666666666666664,1,-0.16127586970824148
sprawl,1,24,3,33,1.0,0.041666666666666664,0.041666666666666664,1,-0.11601546070315849
sprawl,1,24,1,34,1.0,0.041666666666666664,0.041666666666666664,1,-0.003071056952086204
sprawl,1,24,1,35,1.0,0.041666666666666664,0.041666666666666664,1,-0.23637164946981803
sprawl,1,24,2,36,1.0,0.041666666666666664,0.041666666666666664,1,-0.014847875409247813
sprawl,1,24,2,37,1.0,0.041666666666666664,0.041666666666666664,1,-0.01094039821190762
sprawl,1,24,3,38,1.0,0.041666666666666664,0.041666666666666664,1,0.03798423783231586
sprawl,1,24,2,39,1.0,0.041666666666666664,0.041666666666666664,1,-0.1653687046252279
sprawl,1,24,2,40,1.0,0.041666666666666664,0.041666666666666664,1,-0.0004874514564081611
sprawl,1,24,1,41,1.0,0.041666666666666664,0.041666666666666664,1,-0.09764174575782025
sprawl,1,24,1,42,1.0,0.041666666666666664,0.041666666666666664,1,-0.008711449543904681
sprawl,1,24,3,43,1.0,0.041666666666666664,0.041666666666666664,1,0.0030423778562596038
sprawl,1,24,2,44,1.0,0.041666666666666664,0.041666666666666664,1,0.1869663377715023
sprawl,1,24,3,45,1.0,0.041666666666666664,0.041666666666666664,1,-0.21353370972158658
sprawl,1,24,2,46,1.0,0.041666666666666664,0.041666666666666664,1,0.04391275046206622
sprawl,1,24,1,47,1.0,0.041666666666666664,0.041666666666666664,1,-0.019537397567880088
sprawl,1,24,1,48,1.0,0.041666666666666664,0.041666666666666664,1,-0.012870720070221608
sprawl,1,24,1,49,1.0,0.041666666666666664,0.041666666666666664,1,-0.07122798439590294
sprawl,1,24,3,50,1.0,0.041666666666666664,0.041666666666666664,1,0.04663122417078469
sprawl,1,24,2,51,1.0,0.041666666666666664,0.041666666666666664,1,-0.28229609507538544
sprawl,1,24,1,52,1.0,0.041666666666666664,0.041666666666666664,1,-0.034850325259967896
sprawl,1,24,2,53,1.0,0.041666666666666664,0.041666666666666664,1,0.0976793521368664
sprawl,1,24,2,54,1.0,0.041666666666666664,0.041666666666666664,1,-0.4073834169724677
sprawl,1,24,3,55,1.0,0.041666666666666664,0.041666666666666664,1,-0.058463065176898255
sprawl,1,24,2,56,1.0,0.041666666666666664,0.041666666666666664,1,0.025464516910200352
sprawl,1,24,2,57,1.0,0.041666666666666664,0.041666666666666664,1,0.11629879629585904
sprawl,1,24,1,58,1.0,0.041666666666666664,0.041666666666666664,1,0.14065918141017564
sprawl,1,24,3,59,1.0,0.041666666666666664,0.041666666666666664,1,-0.003919834670219169
sprawl,1,24,1,60,1.0,0.041666666666666664,0.041666666666666664,1,0.028501590344566896
sprawl,1,24,2,61,1.0,0.041666666666666664,0.041666666666666664,1,0.07507715887970501
sprawl,1,24,3,62,1.0,0.041666666666666664,0.041666666666666664,1,-0.007483446458082188
sprawl,1,24,2,63,1.0,0.041666666666666664,0.041666666666666664,1,0.030485950398785988
sprawl,1,24,2,64,1.0,0.041666666666666664,0.041666666666666664,1,0.1393977133786546
sprawl,1,24,3,65,1.0,0.041666666666666664,0.041666666666666664,1,0.1360307158513243
sprawl,1,24,2,66,1.0,0.041666666666666664,0.041666666666666664,1,0.2261111581127253
sprawl,1,24,1,67,1.0,0.041666666666666664,0.041666666666666664,1,-0.2462587617161085
sprawl,1,24,1,68,1.0,0.041666666666666664,0.041666666666666664,1,0.01494095728098599
sprawl,1,24,1,69,1.0,0.041666666666666664,0.041666666666666664,1,0.1162507830563797
sprawl,1,24,1,70,1.0,0.041666666666666664,0.041666666666666664,1,-0.06174453657699375
sprawl,1,24,1,71,1.0,0.041666666666666664,0.041666666666666664,1,-0.5364391650858364
sprawl,1,24,1,72,1.0,0.041666666666666664,0.041666666666666664,1,-0.0804729272474829
sprawl,1,24,2,73,1.0,0.041666666666666664,0.041666666666666664,1,0.059490377508101044
