arm,content,omega,seed_rep,observer,true_goal,explore_mass,final_entropy,real_goal_entropy,modal_real_goal,modal_goal_full,correct,engaged_fraction,cum_deep,modal_is_explore
explore_off,human_directed,0.0,0,140,0,0.0,3.2886176266498392e-12,3.2885066043473775e-12,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,141,0,0.0,1.9522893132344887e-07,1.9522893132344887e-07,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,142,0,0.0,2.032204878448069e-07,2.0322048773378468e-07,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,143,0,0.0,3.2331918311917834e-13,3.2331918311917834e-13,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,144,0,0.0,1.2522917012723809e-13,1.2545121473216312e-13,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,145,0,0.0,7.929765669660893e-08,7.929765669660893e-08,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,146,0,0.0,1.5908340199295036e-13,1.5908340199295036e-13,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,147,0,0.0,1.1213215409706742e-10,1.1213215409706742e-10,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,148,0,0.0,2.1016543931146652e-13,2.1016543931146652e-13,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,149,0,0.0,5.668785648580758e-11,5.668774546350512e-11,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,150,0,0.0,1.5101104344336328e-13,1.5101104344336328e-13,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,151,0,0.0,1.6804905789767422e-13,1.6793803559521173e-13,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,152,0,0.0,3.7871658180298157e-10,3.7871658180298157e-10,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,153,0,0.0,3.833688125897087e-13,3.831467679847838e-13,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,154,0,0.0,8.606514240386478e-11,8.606503138156233e-11,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,155,0,0.0,2.1031456004880564e-10,2.1031444902650318e-10,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,156,0,0.0,7.2863802026730915e-09,7.286379980628488e-09,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,157,0,0.0,8.063591833185372e-11,8.063558526494636e-11,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,158,0,0.0,2.512994972439744e-10,2.512994972439744e-10,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,159,0,0.0,2.7564604937371744e-09,2.7564603827148724e-09,0,0,1,0.0,10,0
