tier,seed_rep,observer,true_goal,modal_goal,correct,first_skim_t,cum_deep,final_goal_entropy
CREATOR,1,138,2,2,1,2,2,0.014670808951042256
CREATOR,1,139,0,0,1,2,2,0.015372798527185011
CREATOR,1,140,0,0,1,2,2,0.016998169889353463
CREATOR,1,141,2,2,1,2,2,0.012981643599179457
CREATOR,1,142,2,2,1,1,1,0.18521237387485803
CREATOR,1,143,1,1,1,2,2,0.014035316047394499
CREATOR,1,144,2,2,1,2,2,0.01640726306926365
CREATOR,1,145,2,2,1,1,1,0.22788584920806843
CREATOR,1,146,0,0,1,1,1,0.29009672697784233
CREATOR,1,147,1,1,1,2,2,0.013011870339646937
CREATOR,1,148,0,0,1,1,1,0.2855140659761697
CREATOR,1,149,2,2,1,1,1,0.23312030545908188
CREATOR,1,150,0,0,1,3,3,0.10952800098368284
CREATOR,1,151,2,2,1,3,3,0.08257779582889792
CREATOR,1,152,3,3,1,1,1,0.22537593910368342
CREATOR,1,153,1,1,1,2,2,0.014861984146947907
CREATOR,1,154,3,3,1,1,1,0.24465715234905422
CREATOR,1,155,2,2,1,1,1,0.1832361114073155
CREATOR,1,156,0,0,1,1,1,0.2551535791409063
CREATOR,1,157,3,3,1,2,2,0.01424015288604415
CREATOR,1,158,1,1,1,1,1,0.19394191497824118
CREATOR,1,159,0,0,1,1,1,0.2806039661171419
CREATOR,1,160,3,3,1,1,1,0.2913273768358556
CREATOR,1,161,2,2,1,1,1,0.27084047889966323
CREATOR,1,162,3,3,1,1,1,0.2696758660592038
CREATOR,1,163,1,1,1,1,1,0.26888272466933916
CREATOR,1,164,2,2,1,1,1,0.17505494964701293
CREATOR,1,165,2,2,1,2,2,0.017005577139188963
CREATOR,1,166,3,3,1,1,1,0.2330066605665194
CREATOR,1,167,3,3,1,2,2,0.01640319620252799
CREATOR,1,168,0,0,1,1,1,0.265905735227627
CREATOR,1,169,3,3,1,1,1,0.25182698188528874
CREATOR,1,170,3,3,1,1,1,0.30272135449478416
CREATOR,1,171,0,0,1,1,1,0.16322376435176195
CREATOR,1,172,0,0,1,1,1,0.27689450319301256
CREATOR,1,173,1,1,1,2,2,0.0164764313594046
CREATOR,1,174,2,2,1,3,3,0.10354871303738612
CREATOR,1,175,1,1,1,3,3,0.10842743727904532
CREATOR,1,176,2,2,1,2,2,0.015403118963026114
CREATOR,1,177,2,2,1,1,1,0.2570396731837608
CREATOR,1,178,1,1,1,2,2,0.013018240541572914
CREATOR,1,179,3,3,1,1,1,0.19395478178743547
CREATOR,1,180,0,0,1,1,1,0.2707331224407789
CREATOR,1,181,1,1,1,1,1,0.26767616857372745
CREATOR,1,182,2,2,1,2,2,0.016876918105770293
CREATOR,1,183,0,0,1,1,1,0.24365590216274102
CREATOR,1,184,1,1,1,2,2,0.01688714356037228
CREATOR,1,185,0,0,1,3,3,0.09850546945143197
CREATOR,1,186,2,2,1,2,2,0.016756246863725795
CREATOR,1,187,3,3,1,2,2,0.013800120671660596
CREATOR,1,188,3,3,1,2,2,0.017167734274538448
CREATOR,1,189,0,3,0,1,1,0.2639136338962083
CREATOR,1,190,3,3,1,1,1,0.2493096443163113
CREATOR,1,191,1,1,1,2,2,0.014267071141412926
CREATOR,1,192,2,2,1,2,2,0.015261190977428007
CREATOR,1,193,3,3,1,2,2,0.01510827586046614
CREATOR,1,194,1,1,1,2,2,0.013581348779620629
CREATOR,1,195,2,2,1,1,1,0.24867854084294996
CREATOR,1,196,0,0,1,1,1,0.25251419521364904
CREATOR,1,197,0,0,1,1,1,0.2804162895253085
CREATOR,1,198,2,2,1,1,1,0.284296545541888
CREATOR,1,199,0,0,1,2,2,0.014446233476021276
CREATOR,2,0,2,2,1,1,1,0.28534106977348195
CREATOR,2,1,3,3,1,2,2,0.01308392871032482
CREATOR,2,2,0,0,1,2,2,0.013566305379258407
CREATOR,2,3,0,0,1,2,2,0.016740300074675453
CREATOR,2,4,0,0,1,1,1,0.28294533563312396
CREATOR,2,5,0,0,1,1,1,0.17136822167120375
CREATOR,2,6,0,0,1,1,1,0.21820236837073503
CREATOR,2,7,0,0,1,1,1,0.24654014046517983
CREATOR,2,8,3,3,1,2,2,0.012854230341845801
CREATOR,2,9,0,0,1,1,1,0.2401643710638947
CREATOR,2,10,2,2,1,2,2,0.012942478189366929
CREATOR,2,11,2,2,1,1,1,0.2884734123094206
CREATOR,2,12,2,2,1,1,1,0.2323173562226034
CREATOR,2,13,3,3,1,1,1,0.3036362195918413
CREATOR,2,14,1,1,1,2,2,0.013592700090298305
CREATOR,2,15,3,3,1,1,1,0.29082527604764224
