kappa_p,beta,theta,seed_rep,observer,source_goal,engaged_fraction,final_entropy,mean_entropy,psi_per_encounter,prior_drift,prior_mass_on_source_goal,value_divergence,theta_value,recovered_beta,correct
low_foreign,low,closed,4,45,2,0.0,1.3862943611198906,1.3786627541106733,0.0008809432601779531,1.9774228821612012e-05,0.20704153536742875,1.0187802149176537,0.01683124419984636,0.5,0
low_foreign,low,closed,4,46,2,0.0,1.3862943611198906,1.3825173561043438,0.00047307182192098585,1.1482716269247794e-05,0.3038018202799589,1.0498962430629184,0.015526034288192308,0.5,1
low_foreign,low,closed,4,47,2,0.0,1.3862943611198906,1.3756697465469971,0.0012087678336246991,2.6845603499702094e-05,0.20951481312142378,0.9128323768844888,0.03072610927175138,0.5,0
low_foreign,low,closed,4,48,2,0.0,1.3862943611198906,1.3792763354778592,0.0008456000683750361,2.1929236234203816e-05,0.199126665881316,0.9521295580670455,0.022182536986873388,0.49996105776939814,0
low_foreign,low,closed,4,49,2,0.0,1.3862943611198906,1.3720144195321604,0.0011365617307789182,2.350957280803593e-05,0.3739607443253772,1.0529723557212176,0.01542832543298073,0.5008683077271228,1
low_foreign,low,closed,4,50,2,0.0,1.3862943611198906,1.377837482011656,0.0009920099633757352,2.267971078464973e-05,0.19338209825638494,1.046380021450119,0.01564367246284904,0.5,0
low_foreign,low,closed,4,51,2,0.0,1.3862943611198906,1.382458254491607,0.0004520428809944132,1.0299194877193664e-05,0.32163129598336343,1.0342381629992352,0.016103686871014235,0.5,1
low_foreign,low,closed,4,52,2,0.0,1.3862943611198906,1.3754043943415506,0.0012503794062854023,2.806174528866825e-05,0.1928101202441469,0.9136656244247777,0.03051322105769753,0.5,0
low_foreign,low,closed,4,53,2,0.0,1.3862943611198906,1.3821354792289628,0.0005157310699334716,1.2376104358800388e-05,0.2800087441054094,1.025912557982851,0.016473680908360957,0.5,0
low_foreign,low,closed,4,54,2,0.0,1.3862943611198906,1.3836962682021967,0.0003183129203306632,7.518919364559395e-06,0.29346835159539486,1.0336158270944793,0.016129707931642534,0.5,1
low_foreign,low,closed,4,55,2,0.0,1.3862943611198906,1.379538376620022,0.0008145872530421839,1.907873251288136e-05,0.19988626757195765,0.9924852400446692,0.01855084203417367,0.5,0
low_foreign,low,closed,4,56,2,0.0,1.3862943611198906,1.3513299109568764,0.0008175100287903543,9.792807051736208e-06,0.3034323471440935,1.1212445061814464,0.012793347859486506,0.491554144488065,1
low_foreign,low,closed,4,57,2,0.0,1.3862943611198906,1.38232687713164,0.0004951538971338627,1.1959787722088159e-05,0.30020484317417834,1.0225124071788754,0.01663918467855585,0.5,1
low_foreign,low,closed,4,58,2,0.0,1.3862943611198906,1.3840405324704865,0.00026861864950316103,6.173097816808266e-06,0.22683599757445158,1.0272099953672913,0.016412807532796378,0.5,0
low_foreign,low,closed,4,59,2,0.0,1.3862943611198906,1.3812401079357697,0.0007310400565497955,1.8537795440438888e-05,0.23230541141951278,1.024877176567807,0.017273664900385233,0.49970340599037255,0
low_foreign,low,closed,5,0,0,1.0,1.3862943611198906,1.378040656536927,0.0003032427230139263,3.3651928785305766e-06,0.22340637989028156,1.0073388342994014,0.018463115501929642,0.4915905667176056,0
low_foreign,low,closed,5,1,0,1.0,1.3862943611198906,1.3824257593231,0.000472544572154406,1.1161479283610396e-05,0.2002423075650709,1.027656685462298,0.016392133554081034,0.5,0
low_foreign,low,closed,5,2,0,1.0,1.3862943611198906,1.3670584966248938,0.0015068110036521587,3.366801874586439e-05,0.2167786009251358,0.9412830045340027,0.02723519363978394,0.4831811334352111,0
low_foreign,low,closed,5,3,0,1.0,1.3576011924688942,1.3024144546095864,0.0004062621339885462,1.7455886878360664e-06,0.28451013072957904,1.2319720094876905,0.01018255574317264,0.4877798004778572,1
low_foreign,low,closed,5,4,0,1.0,1.3576011924688942,1.3633124022236385,0.0005435136146917621,3.5035857728860044e-06,0.24425281566764573,1.1330657523358667,0.01064521335711447,0.47477170015281644,0
low_foreign,low,closed,5,5,0,1.0,1.3862943611198906,1.2893289086202002,0.0010140173395037522,4.492179796739817e-06,0.23718832909701662,1.2382099874746766,0.009256308536628394,0.4684321474000144,0
low_foreign,low,closed,5,6,0,1.0,1.0880035823470229,1.2953065018009224,0.0018073534758278622,3.4339446292481254e-05,0.2281977516236476,1.136782027451333,0.020803295206982677,0.47942068703702057,0
low_foreign,low,closed,5,7,0,1.0,1.2124177511632412,1.2919061939807994,0.018293285423970095,0.0014541282540394308,0.26944738730526147,0.9413771252090904,0.05284412589253186,0.4533124533994325,0
low_foreign,low,closed,5,8,0,1.0,1.3576011924688942,1.2256954300570377,0.017882205988029667,0.0012520940878001851,0.28653473480326624,1.1615695603375993,0.04144314109237693,0.46966391186954104,0
low_foreign,low,closed,5,9,0,1.0,1.3576011924688942,1.2961515208255494,0.07081133832699656,0.01136225569686966,0.2492369836833267,0.905091844761756,0.08456852088565862,0.4794434956982633,0
low_foreign,low,closed,5,10,0,1.0,1.3576011924688942,1.369216621497479,0.0007341390951642755,7.724199285748896e-06,0.25567379894973036,1.0300639140917403,0.017919704693833815,0.48318113343521096,0
low_foreign,low,closed,5,11,0,1.0,1.3576011924688942,1.3599839386910417,0.0008173608679888677,6.661922110135681e-06,0.2710926549883724,1.0544695972508649,0.01737355056517805,0.47477170015281644,0
low_foreign,low,closed,5,12,0,1.0,1.3862943611198906,1.3769901729165734,0.0014536949944688085,4.39391652031888e-05,0.28959386326077097,0.9334442262818498,0.027047996081368316,0.4915905667176056,1
low_foreign,low,closed,5,13,0,1.0,1.3576011924688947,1.3625870680237715,0.0007222843624547949,5.638503418620893e-06,0.24502424298398803,1.0653406525485043,0.015904491143884703,0.47477170015281644,0
low_foreign,low,closed,5,14,0,1.0,1.3576011924688947,1.3606670458542285,0.0005673451941626944,3.7444381860971855e-06,0.2473307503552934,1.1544060272091285,0.009847708945307565,0.47477170015281656,0
low_foreign,low,closed,5,15,0,1.0,1.3862943611198906,1.3664931134442826,0.000247596459219437,1.610732927855539e-06,0.2218359147251961,1.0818068976710355,0.01337914322654657,0.483181133435211,0
low_foreign,low,closed,5,16,0,1.0,1.3576011924688949,1.362331453366879,0.0026573881344282837,7.135464312227444e-05,0.2814860593462603,1.0354773097378644,0.021639538361893116,0.47477170015281667,1
low_foreign,low,closed,5,17,0,1.0,1.3862943611198906,1.3664645142831162,0.004770895514890826,0.00026945375407574066,0.33398269768275657,0.8901147336291283,0.0350512844401963,0.4831811334352112,1
low_foreign,low,closed,5,18,0,1.0,1.3862943611198906,1.369011741246363,0.0008651620472473466,1.0022857763177049e-05,0.22344894126303924,1.0512824557412364,0.015619267720220702,0.483181133435211,0
low_foreign,low,closed,5,19,0,1.0,1.3862943611198906,1.301788950032693,0.0005389938016432824,1.9009116493653246e-06,0.22311335624547088,1.0491149954741994,0.02772832643941359,0.487799904328108,0
low_foreign,low,closed,5,20,0,1.0,1.3576011924688942,1.3604065312291116,0.0009431393876607924,9.116056728100067e-06,0.3018193466838015,0.9700579271936869,0.02589465873392117,0.47477170015281656,1
low_foreign,low,closed,5,21,0,1.0,1.3576011924688942,1.3278440238300182,0.0013366213957118466,1.4836548563383796e-05,0.25806569810208596,1.124220098026873,0.019850505881908682,0.4530299412340991,0
low_foreign,low,closed,5,22,0,1.0,1.3576011924688947,1.367330482548656,0.0007068835945941221,8.88518744713001e-06,0.3276271814566897,1.1078258191543877,0.01215053499751807,0.48318113343521096,1
low_foreign,low,closed,5,23,0,0.7678571428571429,1.3576011924688949,1.3632663789517705,0.0003451227314513931,6.892459405104766e-07,0.22275190281030602,1.124912354372862,0.011027573483629342,0.47477170015281667,0
low_foreign,low,closed,5,24,0,1.0,1.3576011924688949,1.3085454329230943,0.0016738259828314305,2.1760620514357353e-05,0.22224019164183942,1.1046048294514779,0.02006212570678171,0.4657447759879203,0
low_foreign,low,closed,5,25,0,1.0,1.3576011924688942,1.3383232822305091,0.0016210971231806128,2.541695297493909e-05,0.2224200342365229,1.1677507668702694,0.012146029835134867,0.47686710967895385,0
low_foreign,low,closed,5,26,0,1.0,1.3576011924688942,1.3592319499988104,0.0016547974933735655,2.1916651692339495e-05,0.19326333496665385,0.9736220189180669,0.029001407022740313,0.48318113343521096,0
low_foreign,low,closed,5,27,0,1.0,0.869750671402836,1.2462058820523263,0.000561327934556034,4.356825099852222e-06,0.2269611468954073,1.2830910578680537,0.011793542745804932,0.4926198923953876,0
low_foreign,low,closed,5,28,0,1.0,1.3576011924688947,1.3317884642030249,0.021952272016519062,0.0018354499148174723,0.3088320177260759,0.9020304836913444,0.05378489761022052,0.47251776520450506,1
low_foreign,low,closed,5,29,0,1.0,1.3576011924688949,1.3559721092498673,0.0038474653460342663,0.00010572113467426157,0.3561679524025384,1.0424688355591603,0.021391375250630857,0.47477170015281667,1
low_foreign,low,closed,5,30,0,1.0,1.3576011924688942,1.2455190066145063,0.09854053440907624,0.018534880017592428,0.1750253174866665,0.7610968288653848,0.12444988691950423,0.4925760540302525,0
low_foreign,low,closed,5,31,0,1.0,1.3576011924688947,1.326019773158234,0.02462946858332898,0.0024570767043849435,0.26756903982198205,0.8285856020894886,0.06322925787197538,0.46419406365207305,0
low_foreign,low,closed,5,32,0,1.0,1.3576011924688947,1.352554771130988,0.0006292169538046716,4.58643509522981e-06,0.20266228586339452,1.1409049740114858,0.010320827978106382,0.47477170015281644,0
low_foreign,low,closed,5,33,0,1.0,1.3576011924688947,1.1989300748634426,0.0009807496085500905,3.2016329501446473e-06,0.23668098859080136,1.4281892193938601,0.00592266082358211,0.4859453717146165,0
low_foreign,low,closed,5,34,0,1.0,1.2127979782922278,1.2747101750172094,0.0013187426288012178,8.76053731771161e-06,0.2776415999671313,1.3203015914415617,0.006465820229397178,0.4565727518985778,0
low_foreign,low,closed,5,35,0,1.0,1.3862943611198906,1.3598727165511588,0.006347687555030076,0.000277380850920903,0.19488172589153327,0.9373848580016176,0.03148260633135911,0.4775099120420959,0
