regime,reader,coverage,kappa,contamination,seed_rep,observer,creator_mi,oracle_mi,mi_ratio,ghost_col_err,frac_corpus_labelled
symmetric,naive,0.6,0.9,0.6,1,0,1.0676824919572385,1.0887088433787815,0.9806868920470158,0.15209081331403165,0.6
symmetric,naive,0.6,0.9,0.6,1,1,0.9889697050970998,1.0887088433787815,0.9083876842846764,0.797812442044317,0.6
symmetric,naive,0.6,0.9,0.6,1,2,1.055882293695943,1.0887088433787815,0.9698481831184893,0.04030279571332978,0.6
symmetric,naive,0.6,0.9,0.6,1,3,0.8508912087135417,1.0887088433787815,0.7815599311867638,0.11244891951901205,0.6
symmetric,naive,0.6,0.9,0.6,1,4,1.0092551188103995,1.0887088433787815,0.9270202267102018,0.10354296735580033,0.6
symmetric,naive,0.6,0.9,0.6,1,5,0.9936411212129171,1.0887088433787815,0.9126784697818529,0.07609846378775559,0.6
symmetric,naive,0.6,0.9,0.6,2,0,0.9447550686487638,1.0887088433787815,0.8677756908052104,1.1193137746512485,0.615
symmetric,naive,0.6,0.9,0.6,2,1,0.9481906860556027,1.0887088433787815,0.8709313714334458,1.539053555225648,0.615
symmetric,naive,0.6,0.9,0.6,2,2,0.8723922854283677,1.0887088433787815,0.8013090834468831,0.255182512719155,0.615
symmetric,naive,0.6,0.9,0.6,2,3,0.929992864562503,1.0887088433787815,0.8542163225902462,0.7824728771076372,0.615
symmetric,naive,0.6,0.9,0.6,2,4,0.9173608057124231,1.0887088433787815,0.8426135337207477,1.085991480387087,0.615
symmetric,naive,0.6,0.9,0.6,2,5,0.9648040903558703,1.0887088433787815,0.8861911026290779,1.3952893064580831,0.615
symmetric,naive,0.7,0.9,0.6,0,0,0.8978403120491074,1.0887088433787815,0.8246835850645631,0.022492554660443614,0.71
symmetric,naive,0.7,0.9,0.6,0,1,0.8597530808892145,1.0887088433787815,0.7896997311246152,0.03482571876110586,0.71
symmetric,naive,0.7,0.9,0.6,0,2,0.8885503923035486,1.0887088433787815,0.8161506152057643,0.03670066802000542,0.71
symmetric,naive,0.7,0.9,0.6,0,3,0.9924447425581188,1.0887088433787815,0.9115795729904155,0.032028629693072214,0.71
symmetric,naive,0.7,0.9,0.6,0,4,0.9935407714061796,1.0887088433787815,0.9125862965554223,0.025340914347325386,0.71
symmetric,naive,0.7,0.9,0.6,0,5,0.919006290908666,1.0887088433787815,0.8441249435033082,0.030750252634777122,0.71
symmetric,naive,0.7,0.9,0.6,1,0,1.0483189285194932,1.0887088433787815,0.9629010868195584,0.09734027490294048,0.675
symmetric,naive,0.7,0.9,0.6,1,1,0.9883490333563987,1.0887088433787815,0.907817585360179,0.20229223410969835,0.675
symmetric,naive,0.7,0.9,0.6,1,2,1.0003089320196963,1.0887088433787815,0.9188029821777343,0.02620858405402228,0.675
symmetric,naive,0.7,0.9,0.6,1,3,0.9904135102243317,1.0887088433787815,0.9097138470471199,0.06447397014134669,0.675
symmetric,naive,0.7,0.9,0.6,1,4,1.0156496134286217,1.0887088433787815,0.9328936929331608,0.06631940180511164,0.675
symmetric,naive,0.7,0.9,0.6,1,5,1.0346855831718726,1.0887088433787815,0.9503785970551604,0.0560620956601928,0.675
