arm,p_divergence,seed_rep,observer,latent,declared,diverged,latent_correct,declared_correct,self_report_correct,recovered_mu,mu_entropy,subgoal_entropy,final_entropy,artifact_trace_kl
human_unaware,0.0,1,31,2,2,0,1,1,1,1.9657139535732298,1.097449522093624,1.3655946906270493,0.5226593908105159,0.2133397835999208
human_unaware,0.0,1,32,2,2,0,1,1,1,1.9669618430568172,1.097532212515441,1.3801566495062483,1.0417028431015345,0.2133397835999208
human_unaware,0.0,1,33,2,2,0,1,1,1,1.9612424305605147,1.0971284591692956,1.3684162867402192,0.5471303100315886,0.2133397835999208
human_unaware,0.0,1,34,2,2,0,1,1,1,1.9714910356301472,1.0978069300241815,1.3630820234224394,0.4639158487772274,0.2133397835999208
human_unaware,0.0,1,35,2,2,0,1,1,1,1.9765203862394876,1.0980651626029099,1.3622367863992983,0.4023923622677331,0.2133397835999208
human_unaware,0.0,1,36,2,2,0,0,0,1,2.0,1.0986122886681096,1.3862943611198906,1.3784136581367599,0.2133397835999208
human_unaware,0.0,1,37,2,2,0,1,1,1,1.983863167316026,1.0983532585929927,1.3610764958916342,0.3881594510309293,0.2133397835999208
human_unaware,0.0,1,38,2,2,0,1,1,1,1.9502531914474224,1.0961756603331918,1.3716062825611592,0.6782872505167457,0.2133397835999208
human_unaware,0.0,1,39,2,2,0,1,1,1,1.9473053647864762,1.0958806703044763,1.3636634209847545,0.6969125020571549,0.2133397835999208
human_unaware,0.0,1,40,2,2,0,1,1,1,1.979884790135833,1.098210299756803,1.3624489478187558,0.44643600474040945,0.2133397835999208
human_unaware,0.0,1,41,2,2,0,1,1,1,1.9754716181188459,1.0980153895465223,1.3637829191614848,0.4388362164509165,0.2133397835999208
human_unaware,0.0,1,42,2,2,0,1,1,1,1.9761579119669752,1.0980482033028178,1.3643051894472462,0.45458992396619025,0.2133397835999208
human_unaware,0.0,1,43,2,2,0,1,1,1,1.978962544684413,1.0981727217516433,1.359544273688388,0.41375044532137806,0.2133397835999208
