arm,true_mu,delta,seed_rep,observer,true_goal,recovered_mu,mu_posterior_entropy,subgoal_entropy,correct,final_entropy,psi_analogue,psi_structure,engaged_fraction,cum_deep,separation_enforced
sustained,1,1.0,0,77,0,2.0546512649078483,1.0919116768201047,1.3836445547200136,1,3.2265612779027974e-15,3.056395732656935,3.062497137346562,,24,True
sustained,1,1.0,0,78,0,1.4112628879619955,0.7845340360686075,1.3664804194920055,1,7.0995980982372895e-15,3.7213395758252417,3.7669628624162925,,24,True
sustained,1,1.0,0,79,0,1.6871514004361448,0.9715113220932656,1.3619379454566818,1,3.674291567812238e-15,3.1169471186402653,3.1730298382383904,,24,True
sustained,1,1.0,0,80,0,1.2393706121092753,0.599983983427695,1.367557523657462,1,2.0231744158581883e-13,3.6391536459800866,3.682296808577377,,24,True
sustained,1,1.0,0,81,0,1.5407186987708696,0.916757852739299,1.365844710481184,1,2.5287450795637635e-13,3.487480841573487,3.5345679022596963,,24,True
sustained,1,1.0,0,82,0,1.1872587483122912,0.4779607460040384,1.3852280038777403,1,1.3052527556037748e-13,3.51447803202503,3.516933410282828,,24,True
sustained,1,1.0,0,83,0,1.245532899502495,0.5642845670899942,1.3834445826929427,1,3.645497751047259e-15,3.1482233613880624,3.154785218685179,,24,True
sustained,1,1.0,0,84,0,1.1370715200664496,0.39678173872361167,1.3860053648011672,1,4.0288734890888275e-15,2.6304263187923045,2.6310917573860757,,24,True
sustained,1,1.0,0,85,0,1.519076600673465,0.8637920932001408,1.36341169339789,1,4.030537862599259e-15,3.72419441216243,3.7768837017122294,,24,True
sustained,1,1.0,0,86,0,1.4685166554095483,0.8628499675218564,1.3845067337090093,1,3.3932887918486824e-14,2.8954368377489255,2.899553001952757,,24,True
sustained,1,1.0,0,87,0,1.560731258082051,0.9226684823216065,1.3753777914523964,1,5.003121269149546e-15,3.4898557661796827,3.514992096731241,,24,True
sustained,1,1.0,0,88,0,1.0933708788918168,0.2653575697111621,1.385950072907334,1,3.674913451341477e-15,3.77953856264886,3.780331315519125,,24,True
sustained,1,1.0,0,89,0,1.581390949443509,0.9624526021563875,1.2984767940099209,1,1.5557672372416777e-12,3.715657464606612,3.9178648855023543,,24,True
sustained,1,1.0,0,90,0,1.97621775819021,1.0554392724395645,1.2660641627358902,1,6.13619168714985e-14,2.8198820545653223,3.0967223170685343,,24,True
sustained,1,1.0,0,91,0,1.4553449423453904,0.8174491005709766,1.365431305783323,1,3.478638057567289e-15,3.8043974078077913,3.8524363679840334,,24,True
sustained,1,1.0,0,92,0,1.8695807209179038,1.0634139863749037,1.3672437480035264,1,2.69911683655501e-15,3.361618554968663,3.4054842127130565,,24,True
sustained,1,1.0,0,93,0,1.0212305777387993,0.07577476950689896,1.3862670508316104,1,3.686003709244096e-15,3.4040818579584045,3.404144742190787,,24,True
sustained,1,1.0,0,94,0,1.313342617273661,0.666327111394665,1.3799159989308964,1,7.172110329269045e-14,2.904043553402692,2.918730275072406,,24,True
