kappa,signing_rate,contamination,seed_rep,observer,exposure,ghost_col_err,creator_mi,oracle_mi,mi_ratio,ghost_col_entropy,time_to_competence
0.1,0.0,0.6,0,1,200,2.5921448867131502,0.7530994303566725,1.0887088433787815,0.6917363029948822,1.1050959574053023,
0.1,0.0,0.6,0,1,300,2.607988491498804,0.7603669449502988,1.0887088433787815,0.6984116548465965,1.0950500729289865,
0.1,0.0,0.6,0,1,400,2.604893739240873,0.764462966404176,1.0887088433787815,0.7021739292864415,1.0815065164182973,
0.1,0.0,0.6,0,1,500,2.6547797891704206,0.7838115847355498,1.0887088433787815,0.719946007146419,1.0635569564523315,
0.1,0.0,0.6,0,1,600,2.6548790788725496,0.7924383909492626,1.0887088433787815,0.72786989447973,1.04303262031606,
0.1,0.0,0.6,0,1,-1,2.6548790788725496,0.7924383909492626,1.0887088433787815,0.72786989447973,1.04303262031606,600.0
0.1,0.0,0.6,0,2,100,2.5599763577707986,0.7841361654197471,1.0887088433787815,0.7202441407440023,1.0756443096724326,
0.1,0.0,0.6,0,2,200,2.5899598209039634,0.7887100603207121,1.0887088433787815,0.7244453511307666,0.9889833823858079,
0.1,0.0,0.6,0,2,300,2.605094006612412,0.7660404438069687,1.0887088433787815,0.70362287260346,0.9411272339691381,
0.1,0.0,0.6,0,2,400,2.6036803152472645,0.7460047441520651,1.0887088433787815,0.6852196973406199,0.9286486493357453,
0.1,0.0,0.6,0,2,500,2.629673178870121,0.7474537784070463,1.0887088433787815,0.6865506631574165,0.899772123476199,
0.1,0.0,0.6,0,2,600,2.6296914422679456,0.750292605455332,1.0887088433787815,0.6891581803697094,0.8855994826568232,
0.1,0.0,0.6,0,2,-1,2.6296914422679456,0.750292605455332,1.0887088433787815,0.6891581803697094,0.8855994826568232,600.0
0.1,0.0,0.6,0,3,100,2.7883998272819386,0.8693280177101861,1.0887088433787815,0.7984944946458299,0.7708143827497693,
0.1,0.0,0.6,0,3,200,2.863723091725358,0.8919565344765363,1.0887088433787815,0.8192792222651291,0.6875587662204895,
0.1,0.0,0.6,0,3,300,2.846332670785336,0.8914187795534051,1.0887088433787815,0.8187852840314115,0.656955637073574,
0.1,0.0,0.6,0,3,400,2.811113782105504,0.8706446912469518,1.0887088433787815,0.7997038845986839,0.6563700067754603,
0.1,0.0,0.6,0,3,500,2.8181239097590804,0.8682991763658018,1.0887088433787815,0.7975494840944402,0.6558938924031872,
0.1,0.0,0.6,0,3,600,2.80038637401758,0.8599560561437485,1.0887088433787815,0.7898861677975314,0.6578538215491827,
0.1,0.0,0.6,0,3,-1,2.80038637401758,0.8599560561437485,1.0887088433787815,0.7898861677975314,0.6578538215491827,600.0
0.1,0.0,0.6,0,4,100,2.86442072648791,0.7541702883969081,1.0887088433787815,0.6927199066890638,0.967536470618497,
0.1,0.0,0.6,0,4,200,3.204435762377861,0.7586709369519925,1.0887088433787815,0.6968538388991823,0.9836710046727144,
0.1,0.0,0.6,0,4,300,3.2541235244917326,0.7538441382718735,1.0887088433787815,0.6924203315299033,0.9783098582685663,
0.1,0.0,0.6,0,4,400,3.2199375540089563,0.7362028965552287,1.0887088433787815,0.6762165119100538,1.001746345451712,
0.1,0.0,0.6,0,4,500,3.279285955400936,0.7400818759741239,1.0887088433787815,0.6797794290687469,0.9927466733386464,
0.1,0.0,0.6,0,4,600,3.284902983376398,0.7430943764964679,1.0887088433787815,0.6825464687053451,0.994473142145493,
0.1,0.0,0.6,0,4,-1,3.284902983376398,0.7430943764964679,1.0887088433787815,0.6825464687053451,0.994473142145493,600.0
0.1,0.0,0.6,0,5,100,3.252716948414811,0.865192202394694,1.0887088433787815,0.7946956687791669,0.9550646045429841,
0.1,0.0,0.6,0,5,200,3.30265895266379,0.8944391520759558,1.0887088433787815,0.8215595542515165,0.9369203165005303,
0.1,0.0,0.6,0,5,300,3.285143234878726,0.8823815006053828,1.0887088433787815,0.8104843696014568,0.9515552575095102,
0.1,0.0,0.6,0,5,400,3.282346548749714,0.8923676733540626,1.0887088433787815,0.8196568612271222,0.9431936947690422,
0.1,0.0,0.6,0,5,500,3.2899404584093253,0.8957027056652869,1.0887088433787815,0.8227201525115707,0.9395230995499798,
0.1,0.0,0.6,0,5,600,3.2264814978858714,0.8688825480817794,1.0887088433787815,0.7980853222292413,0.9567166605532788,
0.1,0.0,0.6,0,5,-1,3.2264814978858714,0.8688825480817794,1.0887088433787815,0.7980853222292413,0.9567166605532788,600.0
