half,arm,contamination,seed_rep,observer,artifact_index,eff_sample_count,creator_col_kl,col_change_rate,deep_per_genuine,generation,deep_per_artifact
starvation,starvation_only,0.0,1,6,225,95.11310536122036,0.5277624648659953,0.005756427893218909,1.6933333333333334,,
starvation,starvation_only,0.0,1,6,250,105.08790986279527,0.48630088579995084,0.006199731532236936,1.684,,
starvation,starvation_only,0.0,1,6,275,116.83104796814598,0.5032041781185281,0.008354374577463736,1.701818181818182,,
starvation,starvation_only,0.0,1,6,300,130.07141309285507,0.5151146519515674,0.004140208275031479,1.7366666666666666,,
starvation,starvation_only,0.0,1,6,325,143.31518113394006,0.543582872499109,0.00429408018527375,1.7661538461538462,,
starvation,starvation_only,0.0,1,6,350,155.3045931874823,0.5291301290273938,0.004169498348606004,1.7771428571428571,,
starvation,starvation_only,0.0,1,6,375,167.04705283648963,0.5386373137551244,0.0036209928247231656,1.784,,
starvation,starvation_only,0.0,1,6,400,180.54172429628102,0.566824248582859,0.004374836171779125,1.8075,,
starvation,starvation_only,0.0,1,7,25,8.740010881899423,0.16201931156225446,0.07711341740459125,1.4,,
starvation,starvation_only,0.0,1,7,50,18.962296656727972,0.07604704004670484,0.03449419325484427,1.52,,
starvation,starvation_only,0.0,1,7,75,28.45238769147081,0.07291529994239054,0.020292652968080995,1.52,,
starvation,starvation_only,0.0,1,7,100,39.44458917569646,0.09344819114707793,0.01945805823809013,1.58,,
starvation,starvation_only,0.0,1,7,125,50.936383817782286,0.11387303231014444,0.011936437127649868,1.632,,
starvation,starvation_only,0.0,1,7,150,64.17932569270012,0.15617222223501698,0.01517622270386286,1.7133333333333334,,
starvation,starvation_only,0.0,1,7,175,75.67175685172255,0.17959146035545231,0.007772782670503215,1.7314285714285715,,
starvation,starvation_only,0.0,1,7,200,86.41298972164955,0.17663879771608204,0.00929724712407863,1.73,,
starvation,starvation_only,0.0,1,7,225,99.65613419815477,0.2244681235748229,0.007480534684911122,1.7733333333333334,,
starvation,starvation_only,0.0,1,7,250,112.14775603644338,0.23873642459839373,0.005661763516974825,1.796,,
starvation,starvation_only,0.0,1,7,275,123.13958443225853,0.2555062358156662,0.005106373524314848,1.7927272727272727,,
starvation,starvation_only,0.0,1,7,300,135.38339568989312,0.2869076115909608,0.006471865619561451,1.8066666666666666,,
