omega,seed_rep,observer,foreign_goal,matches_foreign_goal,modal_goal,final_entropy,engaged_fraction,cum_deep
0.0,1,75,2,0,1,1.3581941693857047,0.0,10
0.0,1,76,2,0,3,1.353912003501806,0.0,10
0.0,1,77,2,0,1,1.327430208873454,0.0,10
0.0,1,78,2,0,3,1.3812015452579596,0.0,10
0.0,1,79,2,1,2,1.3143919032441362,0.0,10
0.0,1,80,2,0,1,1.3832413713240748,0.0,10
0.0,1,81,2,0,0,1.3747400787681,0.0,10
0.0,1,82,2,0,0,1.3825083959303999,0.0,10
0.0,1,83,2,1,2,1.3681332077239512,0.0,10
0.0,1,84,2,1,2,1.32733342545393,0.0,10
0.0,1,85,2,1,2,1.3787710199415817,0.0,10
0.0,1,86,2,1,2,1.3796706734628954,0.0,10
0.0,1,87,2,0,3,1.3666998320080848,0.0,10
0.0,1,88,2,1,2,1.3744542237195385,0.0,10
0.0,1,89,2,0,3,1.3759779009017876,0.0,10
0.0,1,90,2,1,2,1.3671991101920953,0.0,10
0.0,1,91,2,0,3,1.3653381916793634,0.0,10
0.0,1,92,2,0,1,1.3854271888382104,0.0,10
0.0,1,93,2,0,0,1.3670959586174736,0.0,10
0.0,1,94,2,0,1,1.3745308678161585,0.0,10
0.0,1,95,2,0,0,1.375180057293911,0.0,10
0.0,1,96,2,0,0,1.3497212776547656,0.0,10
0.0,1,97,2,1,2,1.3605827376689628,0.0,10
0.0,1,98,2,0,1,1.3827647776545384,0.0,10
0.0,1,99,2,1,2,1.3633413496086688,0.0,10
0.0,1,100,2,0,3,1.3735117757164161,0.0,10
0.0,1,101,2,1,2,1.332597784206891,0.0,10
0.0,1,102,2,0,3,1.3656599349139562,0.0,10
0.0,1,103,2,0,0,1.3686703519795393,0.0,10
0.0,1,104,2,0,0,1.3499919124074382,0.0,10
0.0,1,105,2,0,1,1.3848751667770987,0.0,10
0.0,1,106,2,0,1,1.3558097720310864,0.0,10
0.0,1,107,2,0,3,1.3697206534675215,0.0,10
0.0,1,108,2,0,3,1.3657480300289486,0.0,10
0.0,1,109,2,0,1,1.372885592777436,0.0,10
0.0,1,110,2,1,2,1.364230016221925,0.0,10
0.0,1,111,2,1,2,1.3632984972594868,0.0,10
0.0,1,112,2,0,1,1.3667099443059338,0.0,10
0.0,1,113,2,0,1,1.3823660904524724,0.0,10
0.0,1,114,2,0,1,1.3596115215241822,0.0,10
0.0,1,115,2,1,2,1.3739336004553813,0.0,10
0.0,1,116,2,0,3,1.3733651699642295,0.0,10
0.0,1,117,2,1,2,1.3751832567502604,0.0,10
0.0,1,118,2,1,2,1.3630070640321843,0.0,10
0.0,1,119,2,0,0,1.3430593827727417,0.0,10
0.0,1,120,2,0,0,1.351359687638874,0.0,10
0.0,1,121,2,0,1,1.374928946144247,0.0,10
0.0,1,122,2,1,2,1.3709482326238198,0.0,10
0.0,1,123,2,0,0,1.3759236640049084,0.0,10
0.0,1,124,2,1,2,1.3708091231145811,0.0,10
0.0,1,125,2,0,3,1.3768471926478014,0.0,10
0.0,1,126,2,0,1,1.3732993378309686,0.0,10
0.0,1,127,2,0,0,1.3449669636122552,0.0,10
0.0,1,128,2,1,2,1.38487684756804,0.0,10
0.0,1,129,2,1,2,1.373856682105642,0.0,10
0.0,1,130,2,0,1,1.3590629287215679,0.0,10
0.0,1,131,2,0,0,1.3511861838866357,0.0,10
0.0,1,132,2,1,2,1.3781948219058477,0.0,10
0.0,1,133,2,0,0,1.3670376214665074,0.0,10
0.0,1,134,2,0,3,1.376815625360949,0.0,10
0.0,1,135,2,1,2,1.3738076997327482,0.0,10
0.0,1,136,2,0,1,1.3764446155351884,0.0,10
0.0,1,137,2,0,0,1.3763209435851405,0.0,10
0.0,1,138,2,1,2,1.352272484292424,0.0,10
0.0,1,139,2,1,2,1.3613300715745755,0.0,10
0.0,1,140,2,1,2,1.3563474260702528,0.0,10
0.0,1,141,2,1,2,1.3851233362531343,0.0,10
0.0,1,142,2,0,0,1.3570758718306866,0.0,10
0.0,1,143,2,0,0,1.3595024003263279,0.0,10
0.0,1,144,2,1,2,1.358512013373669,0.0,10
