true_beta,true_mu,seed_rep,observer,true_goal,recovered_mu,mu_posterior_entropy,goal_correct,goal_entropy,subgoal_entropy,realised_blocks
1.0,1,2,40,2,1.1922975750134523,0.4922906573524566,1,7.130454341013261e-15,1.3854843122163132,3
1.0,1,2,41,2,1.9318592410075244,1.0950960704782218,1,4.4446388166966416e-15,1.3572499394967221,3
1.0,1,2,42,2,1.0916663954030656,0.2753797222653479,1,3.5782314421442394e-15,1.3857737295660262,3
1.0,1,2,43,2,1.023977566434566,0.10805712519215027,1,1.4297783215213487e-14,1.3862110919802375,3
1.0,1,2,44,2,1.8838750372409567,1.0883859313585682,1,5.9158500584358364e-15,1.3700304132703192,3
1.0,1,2,45,2,1.5847539299099407,0.9410423267815577,1,3.093334515238644e-15,1.3350554325579722,3
1.0,1,2,46,2,1.8272206118710734,1.060424204862314,1,2.8799662129293683e-15,1.3240228133327763,3
1.0,1,2,47,2,2.0744060338807433,1.078563657238673,1,7.650420029623151e-15,1.3289704919744123,3
1.0,1,2,48,2,2.2564153775018627,1.0485408743281677,1,3.2777532026439915e-15,1.2602591822137679,3
1.0,1,2,49,2,1.3107488296299334,0.6685689500796554,1,3.3400603367288715e-15,1.379414316091777,3
1.0,1,2,50,2,2.054412259520573,1.0752093394334998,1,1.29808025033175e-13,1.3184257578402327,3
1.0,1,2,51,2,2.029238225873466,1.0305083904583814,1,2.8322332529294737e-15,1.225053729203138,3
1.0,1,2,52,2,2.072032863776325,1.0939355500150252,1,6.473453305332451e-15,1.3577358654015763,3
1.0,1,2,53,2,1.086817541212377,0.23032546900494488,1,7.062107889134754e-14,1.3861678753442248,3
1.0,1,2,54,2,2.003104594040681,1.0820873745979722,1,4.41227325949534e-15,1.3074177732229746,3
1.0,1,2,55,2,1.4883836389716516,0.8732586041750453,1,3.904823790116591e-15,1.3378821473946703,3
1.0,1,2,56,2,1.8540864138242867,1.0804997469393707,1,1.320116693457467e-13,1.360040712741588,3
1.0,1,2,57,2,2.1169631031146485,1.0874615604601336,1,4.236439323227126e-15,1.301746869867106,3
1.0,1,2,58,2,1.43789456140268,0.7971278309007543,1,3.265962850545124e-15,1.3734040886995658,3
1.0,1,2,59,2,1.3899487092969522,0.7670357864800896,1,5.90498236090068e-15,1.3800881155109195,3
1.0,1,3,0,3,1.7532741216637482,1.0425636454712457,1,7.947806830959573e-15,1.297016081974716,6
1.0,1,3,1,3,1.6832076682096364,1.0005953443588045,1,4.551098789966819e-15,1.3661607894133942,6
1.0,1,3,2,3,1.3158334996164993,0.6296904094036457,1,3.998694640989122e-14,1.3728938338078542,6
1.0,1,3,3,3,1.7543249741584237,1.0376874320154803,1,4.056402226313797e-14,1.293128904353345,6
1.0,1,3,4,3,1.379773376236544,0.7601062504985923,1,3.310943754091346e-15,1.3779945844411203,6
1.0,1,3,5,3,1.8908117867783776,1.0756036313500283,1,4.177949186525055e-15,1.3177452340792488,6
1.0,1,3,6,3,1.3823183400323686,0.7685287654185498,1,3.3880511481616773e-15,1.3757166705674868,6
1.0,1,3,7,3,2.0408635236397474,1.096182609881759,1,2.858452680319431e-15,1.218881900134116,6
1.0,1,3,8,3,1.9626556827728687,1.0975621891250027,1,1.0107152569096893e-12,1.2200137655410264,6
1.0,1,3,9,3,1.74544856983573,0.9678235367383312,1,3.4149732113309722e-15,1.3625011931216673,6
1.0,1,3,10,3,1.2847093786141701,0.6584366069238847,1,3.3145664800618053e-15,1.380541981924663,6
1.0,1,3,11,3,2.3279309454686508,0.9949156621406438,1,5.5818783576364585e-15,1.2699916708538657,6
1.0,1,3,12,3,1.7766335568309066,1.053208307898613,1,3.3965348937655434e-15,1.343984034480522,6
1.0,1,3,13,3,1.3627075031733697,0.7204194451943513,1,5.4297169910560084e-14,1.3611590072491686,6
1.0,1,3,14,3,1.4305273096989317,0.820330609092982,1,1.304918986952681e-13,1.3740027416426772,6
1.0,1,3,15,3,1.8939380272931445,1.0894936804207607,1,3.2430320903879592e-15,1.3129906732910108,6
1.0,1,3,16,3,2.163412558813654,1.0752295598345887,1,2.7057717947986964e-15,1.2822958669486657,6
1.0,1,3,17,3,1.2151370131074997,0.5240477338475951,1,3.238675145802352e-15,1.383593178259032,6
1.0,1,3,18,3,1.3750132936222748,0.7541289308103789,1,1.7270834762481426e-12,1.381969927944148,6
1.0,1,3,19,3,1.564928009863728,0.9452137401662465,1,3.361538385768883e-15,1.3624715090021517,6
1.0,1,3,20,3,2.36689614973231,0.9800160716334396,1,2.7382289830271907e-15,1.2525119977493107,6
1.0,1,3,21,3,1.6569998330781772,0.9970401922435659,1,3.0669770121231242e-15,1.34837026219131,6
1.0,1,3,22,3,2.1353094075503267,1.0723103065166246,1,2.5309594997876384e-15,1.2372467479034868,6
