cell,t,meanfield_epistemic_total,exact_epistemic_total,epistemic_total_abs_error,meanfield_epistemic_goal,exact_epistemic_goal,epistemic_goal_abs_error,meanfield_pragmatic,exact_pragmatic,pragmatic_abs_error,joint_vs_product_kl
machine work labelled honestly,35,0.026001493670409825,0.025992492044725868,9.00162568395757e-06,0.02599249204473475,0.02599249204473475,0.0,-8.974036646991053,-8.974036646991053,0.0,1.139390382632553e-61
machine work labelled honestly,36,0.02616833415468811,0.026159332529004153,9.00162568395757e-06,0.02615933252901348,0.026159332529013035,4.440892098500626e-16,-8.974036646991049,-8.974036646991053,3.552713678800501e-15,2.2204460492503123e-16
machine work labelled honestly,37,0.02633152058070687,0.026322518955023355,9.001625683513481e-06,0.026322518955032237,0.02632251895503135,8.881784197001252e-16,-8.974036646991049,-8.97403664699105,1.7763568394002505e-15,3.6453843758187744e-16
machine work labelled honestly,38,0.026488414103656766,0.026479412477973696,9.001625683069392e-06,0.026479412477983022,0.026479412477983022,0.0,-8.974036646991053,-8.974036646991053,0.0,1.0416189809376904e-67
machine work labelled honestly,39,0.026233231804095425,0.026224230178412355,9.001625683069392e-06,0.02622423017842168,0.02622423017842168,0.0,-8.974036646991054,-8.974036646991053,1.7763568394002505e-15,3.3796364589433143e-69
machine work labelled honestly,40,0.026389351296322694,0.026380349670639625,9.001625683069392e-06,0.026380349670648506,0.026380349670648506,0.0,-8.974036646991053,-8.974036646991053,0.0,3.2811459014321367e-71
human work read correctly,1,3.462277635277431,3.4622686336683435,9.00160908745562e-06,1.261049634666698,1.2610496346666975,4.440892098500626e-16,-8.974036646991053,-8.974036646991053,0.0,-2.239641363612691e-16
human work read correctly,2,0.8957895846356534,0.7861108570796169,0.10967872755603647,0.4586043328757419,0.4158273917296654,0.04277694114607655,-8.974036646991053,-8.974036646991053,0.0,0.04502633201978268
human work read correctly,3,0.012834860758684119,0.012772118524128295,6.274223455582373e-05,0.008703917896240572,0.008659745684750586,4.4172211489985555e-05,-8.974036646991056,-8.974036646991053,3.552713678800501e-15,4.173662899406265e-05
human work read correctly,4,0.00026616352167163626,0.0002573094506646001,8.854071007036168e-06,0.00018831428528876389,0.00018829434405620392,1.994123255996509e-08,-8.974036646991053,-8.974036646991053,0.0,2.112926064694287e-08
human work read correctly,5,1.415590736320027e-05,5.359597631482416e-06,8.796309731717855e-06,4.093512692914556e-06,4.09350555267135e-06,7.140243205247814e-12,-8.974036646991053,-8.974036646991053,0.0,9.511002149629759e-12
human work read correctly,6,9.033915056466668e-06,1.1483904494014041e-07,8.919076011526528e-06,8.898941290716762e-08,8.898934855052226e-08,6.435664536042515e-14,-8.97403664699105,-8.974036646991053,1.7763568394002505e-15,1.2855460457568736e-13
human work read correctly,7,9.002006829739173e-06,2.465232462611766e-09,8.999541597276561e-06,1.934552208443317e-09,1.934550916257108e-09,1.2921862091571267e-15,-8.974036646991049,-8.97403664699105,1.7763568394002505e-15,1.9668367077808195e-15
human work read correctly,8,9.001321174650911e-06,5.2382542747864136e-11,9.001268792108164e-06,4.205569817421033e-11,4.205569796264436e-11,2.115659690199448e-19,-8.974036646991053,-8.974036646991053,0.0,5.886446146026717e-19
