arm,observer,salience,social,depth,peak,tail,collapse,captured,sustained,recovered,single_stage_engagement
quiet_masterpiece,11,0.2,0.0,3,0.1,1.6626887878259538e-05,0.09998337311212174,0,0,0.10230536892192821,0.0
quiet_masterpiece,12,0.2,0.0,3,0.1,0.000577810979694819,0.09942218902030518,0,0,0.15181834564623986,0.3333333333333333
quiet_masterpiece,13,0.2,0.0,3,0.1,0.0,0.1,0,0,0.0,0.0
quiet_masterpiece,14,0.2,0.0,3,0.1,0.0,0.1,0,0,0.0,0.0
quiet_masterpiece,15,0.2,0.0,3,0.1,0.0005029303395372918,0.09949706966046272,0,0,0.14958742774092015,0.0
quiet_masterpiece,16,0.2,0.0,3,0.1,0.01338991117378396,0.08661008882621604,0,0,0.20833907221951042,0.5
quiet_masterpiece,17,0.2,0.0,3,0.1,0.0007955779788835322,0.09920442202111647,0,0,0.15704854799821244,0.25
quiet_masterpiece,18,0.2,0.0,3,0.1,0.0,0.1,0,0,0.0,0.0
quiet_masterpiece,19,0.2,0.0,3,0.1,0.0,0.1,0,0,0.0,0.0
quiet_masterpiece,20,0.2,0.0,3,0.1,0.05214498462585395,0.047855015374146055,0,0,0.23606091539471197,0.3333333333333333
quiet_masterpiece,21,0.2,0.0,3,0.1,1.5300817275443718e-06,0.09999846991827246,0,0,0.07741127577499518,0.08333333333333333
quiet_masterpiece,22,0.2,0.0,3,0.1,0.00016662457844505518,0.09983337542155495,0,0,0.13268267586222704,0.4166666666666667
quiet_masterpiece,23,0.2,0.0,3,0.1,2.4913426834531766e-05,0.09997508657316548,0,0,0.10716527625124206,0.0
quiet_masterpiece,24,0.2,0.0,3,0.1,8.646602751710483e-07,0.09999913533972483,0,0,0.07234195210635685,0.0
quiet_masterpiece,25,0.2,0.0,3,0.1,0.1,0.0,0,0,0.41986511142269967,0.16666666666666666
quiet_masterpiece,26,0.2,0.0,3,0.1,0.0,0.1,0,0,0.0,0.0
