regime,arm,observer,n_train,evasion,trained_at,evaded,fired,score
co_evolution,machine,15,512,0.75,0.75,0,1,2.3588290872651485
co_evolution,human_careful,0,512,0.75,0.75,0,0,-0.4307829160924541
co_evolution,human_careful,1,512,0.75,0.75,0,0,-0.019048194970694432
co_evolution,human_careful,2,512,0.75,0.75,0,0,-0.2774473352109144
co_evolution,human_careful,3,512,0.75,0.75,0,0,-0.24012064606567782
co_evolution,human_careful,4,512,0.75,0.75,0,0,-0.16243170878526536
co_evolution,human_careful,5,512,0.75,0.75,0,0,-0.29298712468147414
co_evolution,human_careful,6,512,0.75,0.75,0,0,-0.23900083725645085
co_evolution,human_careful,7,512,0.75,0.75,0,0,-0.16243170878526536
co_evolution,human_careful,8,512,0.75,0.75,0,0,-0.11583181552512167
co_evolution,human_careful,9,512,0.75,0.75,0,0,-0.29298712468147414
co_evolution,human_careful,10,512,0.75,0.75,0,0,-0.1900436028878647
co_evolution,human_careful,11,512,0.75,0.75,0,0,-0.1295844205181861
co_evolution,human_careful,12,512,0.75,0.75,0,0,-0.019048194970694432
co_evolution,human_careful,13,512,0.75,0.75,0,0,-0.35721703164669644
co_evolution,human_careful,14,512,0.75,0.75,0,0,-0.1295844205181861
co_evolution,human_careful,15,512,0.75,0.75,0,0,-0.1850145498314276
co_evolution,human_fast,0,512,0.75,0.75,0,0,-0.25061826046224106
co_evolution,human_fast,1,512,0.75,0.75,0,0,-0.3016732512964073
co_evolution,human_fast,2,512,0.75,0.75,0,0,-0.3748827876986624
co_evolution,human_fast,3,512,0.75,0.75,0,0,-0.3552110075381756
co_evolution,human_fast,4,512,0.75,0.75,0,0,-0.2670244558611999
co_evolution,human_fast,5,512,0.75,0.75,0,0,-0.43590597645629375
co_evolution,human_fast,6,512,0.75,0.75,0,0,-0.2531586039399218
co_evolution,human_fast,7,512,0.75,0.75,0,0,-0.16243170878526536
co_evolution,human_fast,8,512,0.75,0.75,0,0,-0.11583181552512167
co_evolution,human_fast,9,512,0.75,0.75,0,0,-0.23393535496269
co_evolution,human_fast,10,512,0.75,0.75,0,0,-0.22089739708844602
co_evolution,human_fast,11,512,0.75,0.75,0,0,-0.14262237839243008
co_evolution,human_fast,12,512,0.75,0.75,0,0,-0.32134503145689414
