mu,beta,i,settled_at,n_steps,real_gain,sham_at,sham_gain
2,0.1,76,11,24,0.11105000759779471,9,0.07525037671202561
2,0.1,77,5,24,-0.6052003861620237,2,-0.43547526679552373
2,0.1,82,12,24,-0.14160931040942426,2,-0.06985596696646335
2,0.1,83,10,24,-0.09305763577584325,12,-0.18467834484252998
2,0.1,91,2,24,0.05902098007153134,13,-0.04563558422549607
2,0.1,92,3,24,-0.09777756045674746,2,-0.1459073316099293
2,0.1,93,13,24,0.020930830753197016,5,0.018036271594005227
2,0.1,94,9,24,0.12864393658929396,7,0.1789483790874553
2,0.1,96,15,24,-0.14169843056487053,2,-0.08471387095219529
2,0.1,97,11,24,-0.12288709075903603,13,-0.21315733953749083
2,0.1,105,12,24,0.19878622524415368,4,0.19558604224085063
2,0.1,107,5,24,0.4162486528845506,13,0.204150279892235
2,0.1,112,3,24,0.008666679307763658,2,0.07485614901828708
2,0.1,118,5,24,-0.13820783113594937,7,-0.16372783989052975
3,1.0,0,8,24,-0.40268555492511315,2,-0.3854179023781674
3,1.0,3,3,24,-0.0016628770890954048,12,0.11021159603514663
3,1.0,4,2,24,0.004104523423076989,7,0.09377590941622738
3,1.0,7,3,24,0.034188879928089166,4,-0.0376353050238889
3,1.0,8,2,24,0.081164585711885,3,0.05788679148865272
3,1.0,9,2,24,-0.05671981582023111,11,0.05446343636096351
3,1.0,10,2,24,0.6673978249406197,4,0.4755688726423609
3,1.0,11,2,24,0.11963746462887159,4,0.23232128396804108
3,1.0,13,2,24,-0.4258507533007152,10,0.5116287840839071
3,1.0,15,2,24,0.13385894808386567,7,-0.10290724669360674
3,1.0,16,2,24,-0.04280631445198724,8,-0.26490531684882945
3,1.0,20,5,24,-0.10810894930236348,11,-0.19521264163181673
3,1.0,22,6,24,-0.3782103339724725,14,-0.09421963709904602
3,1.0,23,2,24,-0.02367945417960704,11,0.14624273591295034
3,1.0,24,5,24,-0.07291606920926896,2,-0.0853532727091848
3,1.0,30,2,24,0.416255399331373,3,0.3586862512910439
3,1.0,31,2,24,0.2818388633352893,11,0.06464013321385154
3,1.0,32,5,24,0.6257522341866149,3,0.5446829603622615
3,1.0,33,2,24,0.20794494763167892,7,0.07844838852806679
3,1.0,35,3,24,0.13246228883942535,6,0.0834475502912655
3,1.0,36,2,24,-0.11058539086029828,11,-0.38267195348440186
3,1.0,38,3,24,0.4050670965906291,14,-0.03512873440395037
3,1.0,40,3,24,0.18842554541761292,11,-0.03841886789737514
3,1.0,42,5,24,0.3192660972019803,17,0.5109095542769447
3,1.0,45,2,24,-0.11831916124203246,3,-0.16154763762579694
3,1.0,48,2,24,0.2656684309570573,10,-0.0062397756580508945
3,1.0,50,2,24,0.12769036390601363,4,0.20483120662966847
3,1.0,52,4,24,0.3139702380596445,15,-0.17151537976697329
3,1.0,54,2,24,0.16910841596016746,4,0.020318504961591266
3,1.0,55,2,24,-0.1452068519828078,3,-0.02223721818511737
3,1.0,57,2,24,0.163776329879062,4,0.015451141924648581
3,1.0,58,2,24,0.03510965776240771,6,-0.07509267713108247
3,1.0,59,2,24,0.36841941895021746,3,0.4147627744789244
